Aggressive with effort. Relaxed with outcome.
"What's funny about taking life risk rather than financial risk is that if it doesn't go well, you're literally back in the same position that you started, except smarter.

When u think about it like that, you want to cash in as many life lotto tickets as you can, not as few."
"The right partner helps you become the best version of yourself.

The wrong partner helps you become the worst version of yourself. (In a hurry)"
"One of the most profound behavior changes I've had as an entrepreneur, which was against my nature, was to stop seeking out opportunities when I still had problems I needed to fix within my business. 

You have to switch from shiny object syndrome to golden BB obsession. 

Fixing a hundred small things is more boring but creates the outsized outcomes the shiny object syndrome promises but never delivers."
To succeed you just need to do so many reps is unreasonable that you fail.
There's only one lesson that every child needs to learn from failure: to try again.
It's okay to say that you don't have time for more people in your life for this season.
"Just because someone trusts you quickly doesn't mean you need to trust them quickly. It's a more advanced manipulation move, typically from people who need something from you."
"3 more self-improvement hacks that actually work:

1) Remove friends who do not support the version of you you want to become
2) Take micro risk daily (try &amp; fail) rather than macros risk (never try, never succeed)
3) Do not consume before you produce (daily min production goals)"
"3 types of self improvement that actually work:
1) Set an alarm to go to bed (not wake up)
2) Find some physical movement you can do with other people, and do it daily
3) Automate the 95% of meals that aren't special so you can enjoy the 5% that are"
"5 Steps to solving 99% of sales issues:
1) Actually have an offer not just ""buy my thing""
2) Have a written script
3) Practice the script daily (don't allow off script sales)
4) Respond to leads immediately
5) Sell to richer customers

Actually do them rather than nod along."
"If you compete on price, you'll always lose to someone more desperate than you."
"How to make mega money:

Buy things that other people misjudge as risky.

Ex:
Quitting your job.
Moving across the country. 
Going all in.

The reality is that the alternative is riskier - it just takes longer to realize it."
"If you obsess over acquiring customers, you'll lose them to competitors who obsess over keeping them. If you obsess over keeping customers, you'll never need to obsess over acquiring them."
"Delegation is buying back your highest value hours with someone else's lower cost ones.

Automation is building back your highest value hours with a machine's lower cost ones."
Your close rates have more to do with the quality of your reputation than the quality of your salespeople.
"Most business problems get fixed with better people.

The reverse is also true."
"Friendly reminder that if your customers always complain about your prices - you don't need to lower your prices, you just need to raise your customers."
"If you make content, some people will find a way to hate you for it. 

This is a cost of doing business. Reminder: almost every major prophet was murdered - public sentiment is a poor short term gauge for human value (See: Jesus).

1) People create straw men: ""if you tell me I should focus on long term bets you're telling me I should NEVER enjoy my life""

2) You will become more interesting than smaller creators, and negative hooks create drama, so bad creators will make negative hooks about you because they don't know how to gather attention on their own.

3) Media is consumed in short snippets. 99% of people will never consume more than one angle - then derive an almost entirely self-generated opinion of you. This means most people will literally never understand you. IT also means that the praise and boos have equivalent value - zero.

TLDR: You cannot demand people have infinite context in a world that offers none."
"How to beat a bigger competitor: 
Talk to customers more than they do.

He who is closest to the customer wins."
You will make more money obsessing over why your customers leave than why they buy.
"You can't just have high work ethic, you need high ""learn ethic.""
Work ethic is often being able to do the same thing over and over again without getting bored. 
Learn ethic is being able to try a new thing over and over again without getting frustrated.
You need both to win."
